C read: 0#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 1#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 2#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 3#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 4#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 5#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 6#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 7#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 8#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 9#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 10#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 11#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 12#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 13#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
C read: 14#2535,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,26,24,14,2,6,6,16,0,0,12,22,12,12,32,6,18,38,22,12,20,0,0,0,0,0,0,0,0,0,0,1568,162,508,426,1470,174,236,164,1394,0,0,530,382,706,1208,376,28,906,726,818,396,380,0,10,0,110,0,0,0,0#
